attempted,solved,missed,points,num_persons,pct_persons,tot_pct_persons
27,24,3,21,1,2.86,34.29
27,23,4,19,6,17.14,51.43
27,22,5,17,7,20.00,71.43
27,21,6,15,4,11.43,82.86
27,20,7,13,1,2.86,85.71
27,18,9,9,1,2.86,88.57
27,17,10,7,1,2.86,91.43
27,16,11,5,2,5.71,97.14
27,15,12,3,1,2.86,100.00
28,28,0,28,1,3.45,3.45
28,27,1,26,2,6.90,10.34
28,26,2,24,6,20.69,31.03
28,25,3,22,4,13.79,44.83
28,24,4,20,1,3.45,48.28
28,23,5,18,2,6.90,55.17
28,22,6,16,1,3.45,58.62
28,21,7,14,4,13.79,72.41
28,20,8,12,3,10.34,82.76
28,19,9,10,1,3.45,86.21
28,18,10,8,1,3.45,89.66
28,17,11,6,1,3.45,93.10
28,16,12,4,2,6.90,100.00
29,29,0,29,1,3.13,3.13
29,28,1,27,2,6.25,9.38
29,26,3,23,9,28.13,37.50
29,25,4,21,2,6.25,43.75
29,24,5,19,1,3.13,46.88
29,23,6,17,6,18.75,65.63
29,22,7,15,5,15.63,81.25
29,21,8,13,2,6.25,87.50
29,19,10,9,1,3.13,90.63
29,18,11,7,1,3.13,93.75
29,16,13,3,2,6.25,100.00
30,30,0,30,1,3.45,3.45
30,29,1,28,3,10.34,13.79
30,28,2,26,3,10.34,24.14
30,27,3,24,6,20.69,44.83
30,26,4,22,1,3.45,48.28
30,25,5,20,2,6.90,55.17
30,24,6,18,5,17.24,72.41
30,23,7,16,1,3.45,75.86
30,22,8,14,3,10.34,86.21
30,21,9,12,1,3.45,89.66
30,20,10,10,1,3.45,93.10
30,16,14,2,2,6.90,100.00
31,31,0,31,1,5.88,5.88
31,30,1,29,1,5.88,11.76
31,29,2,27,1,5.88,17.65
31,28,3,25,1,5.88,23.53
31,27,4,23,2,11.76,35.29
31,26,5,21,3,17.65,52.94
31,25,6,19,2,11.76,64.71
31,24,7,17,1,5.88,70.59
31,22,9,13,1,5.88,76.47
31,21,10,11,3,17.65,94.12
31,16,15,1,1,5.88,100.00
32,32,0,32,1,6.67,6.67
32,31,1,30,1,6.67,13.33
32,30,2,28,4,26.67,40.00
32,29,3,26,2,13.33,53.33
32,28,4,24,2,13.33,66.67
32,26,6,20,2,13.33,80.00
32,25,7,18,2,13.33,93.33
32,18,14,4,1,6.67,100.00
33,32,1,31,2,10.00,10.00
33,30,3,27,1,5.00,15.00
33,29,4,25,3,15.00,30.00
33,28,5,23,1,5.00,35.00
33,27,6,21,1,5.00,40.00
33,26,7,19,1,5.00,45.00
33,25,8,17,1,5.00,50.00
33,23,10,13,1,5.00,55.00
33,22,11,11,4,20.00,75.00
33,21,12,9,3,15.00,90.00
33,20,13,7,2,10.00,100.00
34,30,4,26,1,14.29,14.29
34,28,6,22,1,14.29,28.57
34,27,7,20,2,28.57,57.14
34,23,11,12,1,14.29,71.43
34,22,12,10,2,28.57,100.00
35,35,0,35,1,11.11,11.11
35,33,2,31,2,22.22,33.33
35,32,3,29,1,11.11,44.44
35,30,5,25,3,33.33,77.78
35,29,6,23,1,11.11,88.89
35,21,14,7,1,11.11,100.00
36,35,1,34,1,11.11,11.11
36,29,7,22,2,22.22,33.33
36,28,8,20,4,44.44,77.78
36,27,9,18,1,11.11,88.89
36,20,16,4,1,11.11,100.00
37,36,1,35,1,8.33,8.33
37,35,2,33,1,8.33,16.67
37,34,3,31,1,8.33,25.00
37,33,4,29,2,16.67,41.67
37,32,5,27,2,16.67,58.33
37,30,7,23,2,16.67,75.00
37,29,8,21,2,16.67,91.67
37,27,10,17,1,8.33,100.00
38,32,6,26,2,40.00,40.00
38,31,7,24,1,20.00,60.00
38,30,8,22,1,20.00,80.00
38,26,12,14,1,20.00,100.00
39,37,2,35,2,20.00,20.00
39,36,3,33,2,20.00,40.00
39,35,4,31,1,10.00,50.00
39,34,5,29,2,20.00,70.00
39,32,7,25,1,10.00,80.00
39,29,10,19,1,10.00,90.00
39,25,14,11,1,10.00,100.00
40,38,2,36,1,7.69,7.69
40,37,3,34,1,7.69,15.38
40,36,4,32,1,7.69,23.08
40,35,5,30,1,7.69,30.77
40,34,6,28,5,38.46,69.23
40,32,8,24,2,15.38,84.62
40,31,9,22,1,7.69,92.31
40,28,12,16,1,7.69,100.00
41,41,0,41,1,33.33,33.33
41,37,4,33,1,33.33,66.67
41,35,6,29,1,33.33,100.00
42,42,0,42,1,3.13,3.13
42,41,1,40,1,3.13,6.25
42,40,2,38,2,6.25,12.50
42,39,3,36,1,3.13,15.63
42,38,4,34,2,6.25,21.88
42,37,5,32,4,12.50,34.38
42,36,6,30,1,3.13,37.50
42,35,7,28,6,18.75,56.25
42,34,8,26,2,6.25,62.50
42,33,9,24,2,6.25,68.75
42,32,10,22,3,9.38,78.13
42,31,11,20,2,6.25,84.38
42,30,12,18,2,6.25,90.63
42,29,13,16,1,3.13,93.75
42,27,15,12,1,3.13,96.88
42,24,18,6,1,3.13,100.00
43,39,4,35,1,14.29,14.29
43,35,8,27,2,28.57,42.86
43,32,11,21,1,14.29,57.14
43,30,13,17,2,28.57,85.71
43,29,14,15,1,14.29,100.00
44,43,1,42,1,9.09,9.09
44,42,2,40,1,9.09,18.18
